Stage,Epoch,Train_AUC,Train_Loss,Train_QWK,Val_AUC,Val_QWK,Learning_Rate,Epoch_Time_sec
Stage 1,1,0.7614,1.3973,0.4777,0.8763,0.6888,0.001,462
Stage 1,2,0.8085,1.3058,0.5558,0.8746,0.6918,0.001,281
Stage 1,3,0.8157,1.2909,0.5592,0.8728,0.6992,0.001,283
Stage 1,4,0.8173,1.2862,0.5703,0.8808,0.7083,0.001,280
Stage 2,1,0.8477,1.3695,0.6444,0.9059,0.7656,0.00005,717
Stage 2,2,0.9104,0.9835,0.76,0.9234,0.7903,0.00005,432
Stage 2,3,0.9346,0.8343,0.7962,0.9236,0.7933,0.00005,429
Stage 2,4,0.9508,0.7155,0.8248,0.9256,0.8064,0.00005,432
Stage 3,1,0.9189,0.932,0.7604,0.9346,0.8191,0.00001,1540
Stage 3,2,0.9585,0.6698,0.8443,0.9338,0.8216,0.00001,868
Stage 3,3,0.9681,0.5987,0.8656,0.9339,0.8222,0.00001,860
Stage 3,4,0.9739,0.553,0.8796,0.9337,0.8204,0.00001,861
Stage 3,5,0.9789,0.5137,0.894,0.9343,0.8259,0.000003,858
Stage 3,6,0.9805,0.5001,0.8984,0.9352,0.8255,0.000003,860
Stage 3,7,0.9813,0.4929,0.8992,0.9334,0.8272,0.000003,860
